customer_code,customer_name,platform,channel,region
CUST613799SA,Thalente Magujwa,In-Store,Direct,South
CUST399407SA,Nqobizitha Masuku-Mpofana,E-Commerce,Retailer,East
CUST530108SA,Nonhlanhla Gcugcwa-Sikobi,In-Store,Direct,South
CUST119971SA,Dr. Nonhlanhla Mpila,E-Commerce,Direct,East
CUST931230SA,Mthokozisi Mbongwe,E-Commerce,Direct,East
CUST867611SA,Nomusa Mlangeni,E-Commerce,Direct,East
CUST765054SA,Mcebisi Mngwemkhulu,In-Store,Direct,West
CUST327704SA,Mnumzane Minenhle Jiyane,In-Store,Direct,North
CUST720184SA,Busisiwe Gambu,In-Store,Direct,North
CUST872176SA,Bhekani Mnomiya,E-Commerce,Retailer,East
CUST101255SA,Nkosazana Thembile Gwija,In-Store,Retailer,East
CUST583397SA,S'fiso Ngubane,In-Store,Direct,East
CUST588967SA,Sithembiso Guma,In-Store,Retailer,West
CUST430764SA,Zenzile Sameya,E-Commerce,Retailer,North
CUST986846SA,Baba Thando Somboni,E-Commerce,Direct,North
CUST53945SA,Sandile Mayise-Mcambi,E-Commerce,Direct,South
CUST108633SA,Nozizwe Mabuza-Jokiwe,In-Store,Direct,South
CUST688637SA,Nkazimulo Gigaba,E-Commerce,Direct,Central
CUST367121SA,Nkosazana Gugu Xaba,In-Store,Retailer,North
CUST292099SA,Nkazimulo Mnguni-Ngotsha,In-Store,Direct,South
CUST804711SA,Mrs. Sihawukele Phoseka,In-Store,Retailer,East
CUST869752SA,Nkosikazi Bhekisisa Khumbuza,In-Store,Retailer,West
CUST286544SA,Nkosikazi Nomathalente Mcambe,E-Commerce,Direct,South
CUST6402SA,Thando Hlophe,E-Commerce,Direct,Central
CUST593830SA,Baba Bhekani Hlongwane,In-Store,Direct,East
CUST776962SA,Mr. Bhekani Thumbela,E-Commerce,Referral,South
CUST556251SA,Mlungisi Mlondo,E-Commerce,Direct,East
CUST475682SA,Londisizwe Mehloluhlaza,E-Commerce,Retailer,West
CUST326775SA,Nkosazana Thembeka Ngwekazi,E-Commerce,Direct,Central
CUST625185SA,Vusumuzi Dlamane,E-Commerce,Direct,North
CUST163137SA,Sphiwe Ntenga,E-Commerce,Retailer,West
CUST52179SA,Mr. Mandla Mntungwa,E-Commerce,Direct,South
CUST694093SA,Nozibusiso Nonyana,In-Store,Direct,Central
CUST463516SA,Nokulunga Madela,In-Store,Direct,West
CUST791615SA,Gugu Mbuli,In-Store,Direct,South
CUST450797SA,Mandlakhe Shazi,In-Store,Direct,South
CUST711444SA,Nozibusiso Njomane-Sangweni,E-Commerce,Referral,West
CUST323401SA,Lwandile Miya,E-Commerce,Direct,North
CUST628437SA,Andile Mabhena,In-Store,Referral,South
CUST316061SA,Sphiwe Hlatshwayo,In-Store,Retailer,North
CUST801280SA,Mandlakhe Mbende-Gugushe,In-Store,Direct,West
CUST8105SA,Thandeka Mnikathi,E-Commerce,Direct,South
CUST184229SA,Mlungisi Ndinisa,E-Commerce,Referral,West
CUST737852SA,Nhlanhla Ngomane,In-Store,Direct,North
CUST873835SA,Mnumzane Bhekani Mjoli,In-Store,Referral,North
CUST903625SA,Mrs. Nonhlanhla Biyase,E-Commerce,Direct,West
CUST482087SA,Thando Mayisela,In-Store,Direct,South
CUST603727SA,Sibongile Mkhokeleleki,E-Commerce,Direct,West
CUST743963SA,Baba Mandlakhe Gotsholo,E-Commerce,Direct,East
CUST424707SA,Mcebisi Khosini,In-Store,Direct,South
CUST840247SA,Nothando Sibalukhulu-Mdlalose,In-Store,Retailer,South
CUST92410SA,Zakhele Gence,E-Commerce,Direct,North
CUST255135SA,Sibusisiwe Mkhathini,E-Commerce,Retailer,North
CUST549414SA,Mlungisi Mawewe,E-Commerce,Direct,East
CUST782033SA,Nkazimulo Mbhulangwe,E-Commerce,Referral,West
CUST816964SA,Bhekani Nandisa,E-Commerce,Direct,East
CUST663984SA,Nhlanhla Nandisa,E-Commerce,Direct,Central
CUST203322SA,Mnumzane Minenhle Sontuli,E-Commerce,Direct,West
CUST858729SA,Dr. Lwandile Gebashe,In-Store,Direct,North
CUST153557SA,Luyanda Khuba-Nongalo,E-Commerce,Direct,South
CUST160295SA,Mr. Lungile Nxele,In-Store,Retailer,Central
CUST518119SA,Thandiwe Ngungunyana,E-Commerce,Direct,South
CUST796788SA,Nonjabulo Shezi-Ngwane,In-Store,Direct,North
CUST674225SA,Bhuti Mcebisi Nxasana,E-Commerce,Direct,South
CUST331495SA,Musa Dubazane,E-Commerce,Referral,South
CUST491699SA,Simphiwe Mathibela,In-Store,Retailer,North
CUST835012SA,S'fiso Dlamlenze-Mcambi,In-Store,Retailer,Central
CUST531981SA,Mandlakhe Mshazi,In-Store,Retailer,North
CUST473866SA,Bandile Mdunge,E-Commerce,Direct,South
CUST872097SA,Bhekani Nzima-Gama,E-Commerce,Direct,Central
CUST644883SA,Nozizwe Mhayise-Mshengu,E-Commerce,Retailer,South
CUST608519SA,Thembekile Thembekwayo,E-Commerce,Referral,Central
CUST939394SA,Musa Nhlane,E-Commerce,Retailer,North
CUST683501SA,Mcebisi Nontanda,E-Commerce,Referral,East
CUST498733SA,Khanyisile Dludla,E-Commerce,Retailer,North
CUST472407SA,Thabani Mbulazi,E-Commerce,Direct,West
CUST749014SA,Nhlanhla Nzimande,E-Commerce,Referral,North
CUST180941SA,Lwandile Sithole,E-Commerce,Retailer,East
CUST459022SA,Nqobizitha Ndabandaba,E-Commerce,Direct,West
CUST639427SA,Minenhle Menziwa,E-Commerce,Retailer,East
CUST962526SA,Mlungisi Mkhonza-Mbongwa,E-Commerce,Retailer,East
CUST711875SA,Bhekokwakhe Nyambose-Nzimase,In-Store,Direct,West
CUST350905SA,Mcebisi Gasa,E-Commerce,Direct,East
CUST585066SA,Baba Mandlakhe Makhaza,E-Commerce,Direct,West
CUST758889SA,Miss Nomathalente Fenya,E-Commerce,Direct,Central
CUST611046SA,Dr. Zenzele Mbuyise,In-Store,Direct,North
CUST325301SA,Baba Langalibalele Nombhoco,E-Commerce,Referral,West
CUST743266SA,Mandlakhe Ngomane,In-Store,Direct,North
CUST394976SA,Mnumzane Thalente Gwala,In-Store,Retailer,East
CUST702667SA,Ms. Siphesihle Shabane,In-Store,Retailer,North
CUST443973SA,Nomcebo Binda,In-Store,Direct,East
CUST380211SA,Lungile Made-Mbonane,In-Store,Direct,North
CUST993702SA,Baba Luyanda Maduna,E-Commerce,Retailer,South
CUST144247SA,Bhekani Mathaba,In-Store,Retailer,North
CUST885447SA,Mr. Nhlanhla Yeyeye,In-Store,Direct,South
CUST565990SA,Mrs. Sithembiso Mboko,In-Store,Retailer,North
CUST918964SA,Bhuti Langalibalele Nomvuma,E-Commerce,Direct,North
CUST395019SA,Lungile Khuyameni,In-Store,Retailer,South
CUST871728SA,Miss Thandazile Motha,In-Store,Retailer,South
CUST45814SA,Nomcebo Shange,E-Commerce,Direct,West
CUST754540SA,Musa Nsele,In-Store,Direct,West
CUST298768SA,Baba Lwandile Ndiyema,E-Commerce,Direct,North
CUST250786SA,Thabani Msimang-Longode,E-Commerce,Referral,West
CUST385709SA,Bhuti Musa Mshazi,In-Store,Referral,North
CUST806814SA,Sphiwe Mgobhozi-Mzizi,E-Commerce,Direct,West
CUST553081SA,Londisizwe Luthuli,In-Store,Direct,East
CUST840181SA,Gugulethu Makhaye-Dlamane,E-Commerce,Referral,West
CUST672324SA,Zenzile Nenzi,In-Store,Retailer,West
CUST581478SA,SimphiweyiNkosi Ncama,E-Commerce,Retailer,South
CUST892512SA,Mandlakhe Gabela,In-Store,Retailer,West
CUST800185SA,Mandla Mphephethwa,In-Store,Direct,West
CUST949282SA,Khanyisile Mondise,E-Commerce,Referral,West
CUST96168SA,Thalente Mphemba,E-Commerce,Retailer,South
CUST927601SA,Bhekisisa Mlangatshe,E-Commerce,Retailer,North
CUST55843SA,Nozizwe Meyiwa,E-Commerce,Direct,South
CUST247231SA,Dumisani Mfeka,In-Store,Referral,South
CUST235445SA,Mcebisi Gcugcwa,In-Store,Direct,Central
CUST879940SA,Nkosazana Thembekile Jali,E-Commerce,Referral,North
CUST144283SA,Mandlakhe Msomi,In-Store,Direct,Central
CUST729884SA,Miss Thandiwe Simelane,E-Commerce,Direct,South
CUST491897SA,Silondile Bantwini,In-Store,Direct,East
CUST949860SA,Andile Makhulukhulu,E-Commerce,Direct,East
CUST226130SA,Miss Owethu Sontuli,E-Commerce,Retailer,North
CUST638457SA,Nonhlanhla Goba,In-Store,Direct,West
CUST813875SA,Lwandile Mathula-Guliwe,In-Store,Retailer,South
CUST50068SA,Mthokozisi Nyembezi,E-Commerce,Retailer,South
CUST832463SA,Nothando Dludlu-Goba,E-Commerce,Retailer,West
CUST877330SA,Sihawukele Ndlandla,E-Commerce,Direct,South
CUST17233SA,Bhuti S'fiso Mahlangu,E-Commerce,Direct,North
CUST753448SA,Mandlakhe Mnguni,E-Commerce,Referral,East
CUST1640SA,Nomathemba Mahlalela-Nhlanhlampofu,In-Store,Retailer,South
CUST436802SA,Sibusiso Sembathwa,E-Commerce,Direct,South
CUST89772SA,Nomcebo Dubazane,E-Commerce,Retailer,East
CUST999716SA,Olwethu Mzukase,E-Commerce,Direct,North
CUST824613SA,Owethu Biyela,E-Commerce,Referral,West
CUST409420SA,Dade Bhekizizwe Nyawo,E-Commerce,Direct,East
CUST405674SA,Nobuhle Thumbeza,In-Store,Direct,West
CUST17031SA,Thembekile Dubazane,In-Store,Retailer,North
CUST361551SA,Siyabonga Phingoshe,E-Commerce,Direct,North
CUST658775SA,Sphiwe Nkosi,E-Commerce,Retailer,North
CUST770899SA,Mnumzane Langalibalele Dingila,E-Commerce,Retailer,North
CUST369412SA,Nomathalente Nzama,In-Store,Direct,North
CUST183594SA,Dade Thabisile Mthethwa,In-Store,Direct,West
CUST662423SA,Thabani Hlabisa,In-Store,Direct,South
CUST66165SA,Dade Bhekizizwe Masondo,E-Commerce,Referral,East
CUST211383SA,Thabani Luthuli,E-Commerce,Direct,West
CUST928818SA,Mcebisi Mawewe,E-Commerce,Retailer,East
CUST540418SA,Thembisile Ndondakusuka,In-Store,Retailer,Central
CUST496395SA,Bandile Wela-Nzimase,In-Store,Retailer,West
CUST200386SA,Minenhle Dlabane-Phikela,E-Commerce,Retailer,East
CUST348048SA,Jabulani Mdonswa-Mondise,In-Store,Retailer,South
CUST932694SA,Thandeka Mntambo,E-Commerce,Direct,East
CUST938095SA,Nomathalente Kweyama,In-Store,Direct,East
CUST520306SA,Dade Nomcebo Ncongwane,E-Commerce,Direct,South
CUST279676SA,Mr. Siyabonga Mngadi,E-Commerce,Direct,East
CUST82760SA,Sihawukele Khumbuza,E-Commerce,Direct,East
CUST571971SA,Mcebisi Gebashe-Fakude,In-Store,Direct,South
CUST343848SA,Mnumzane Mandlakhe Mpanza,E-Commerce,Direct,North
CUST631894SA,Mama Londisizwe Sibalukhulu,E-Commerce,Referral,East
CUST465471SA,Nonjabulo Dinangwe,In-Store,Referral,West
CUST762120SA,Nkosazana Silondile Mnyandu,E-Commerce,Direct,South
CUST287892SA,Mr. Bhekani Shabane,In-Store,Referral,Central
CUST668480SA,Nomcebo Ncwane,E-Commerce,Retailer,East
CUST840010SA,Miss Bhekisisa Hlophe,In-Store,Direct,North
CUST889894SA,Thabisa Motha-Chonco,E-Commerce,Direct,South
CUST132361SA,Lwandile Nzima,In-Store,Direct,North
CUST384123SA,Nomthandazo Ngwenya,E-Commerce,Direct,East
CUST33958SA,Khanyisile Shengele-Mphephethwa,E-Commerce,Direct,East
CUST994913SA,Nomcebo Mnyamande,E-Commerce,Retailer,North
CUST800152SA,S'fiso Hlatshwayo,E-Commerce,Direct,South
CUST555178SA,Nomusa Mazalankosi,E-Commerce,Direct,West
CUST681113SA,Lwandile Goje-Cebisa,E-Commerce,Retailer,West
CUST771411SA,Mzamo Ncanana,E-Commerce,Direct,North
CUST405785SA,Gugu Mamba,E-Commerce,Referral,South
CUST812609SA,SimphiweyiNkosi Mpanza-Made,In-Store,Retailer,East
CUST641599SA,SimphiweyiNkosi Mvelase-Luthuli,In-Store,Referral,North
CUST128594SA,Thando Dunge,E-Commerce,Direct,North
CUST474001SA,Vusumuzi Sishiya,In-Store,Retailer,North
CUST466732SA,Thabani Dlaba,In-Store,Retailer,North
CUST886593SA,Sithembiso Mbunjwa,In-Store,Retailer,North
CUST744007SA,Njabulo Ndlovu,In-Store,Referral,North
CUST304466SA,Thando Khabalidaka-Sishangwe,E-Commerce,Direct,East
CUST744031SA,Miss Thembekile Mdlalose,In-Store,Direct,West
CUST533469SA,Jabulani Luvuno,E-Commerce,Retailer,East
CUST830541SA,Lwandile Mvuyana,E-Commerce,Retailer,West
CUST27560SA,Owethu Nhlapho,In-Store,Direct,Central
CUST386831SA,Thembile Ngcobo,In-Store,Direct,South
CUST136074SA,Zibuyile Gadlela-Donda,E-Commerce,Direct,South
CUST324314SA,Thalente Sokhulu,In-Store,Retailer,North
CUST501916SA,Nomvula Yengwayo,In-Store,Retailer,West
CUST429322SA,Ms. Gugulethu Mbamali,In-Store,Direct,West
CUST673540SA,Musa Mshikila,In-Store,Direct,West
CUST713145SA,Nomathemba Gwamanda,E-Commerce,Direct,South
CUST920607SA,Miss Thembeka Gwanyana,In-Store,Direct,West
CUST453633SA,Zenzile Dlamini,In-Store,Direct,West
CUST871776SA,Nhlanhla Jiyane,E-Commerce,Direct,East
CUST318897SA,Lungile Mbatha,E-Commerce,Direct,West
CUST980143SA,Dr. Nomathemba Ncongwane,E-Commerce,Direct,West
CUST938397SA,Thando Fakazi-Makhaye,E-Commerce,Referral,West
CUST205837SA,Bhuti Mandla Gwacela,E-Commerce,Direct,Central
CUST655383SA,Sandile Ndiyema-Gamede,E-Commerce,Retailer,South
CUST526986SA,Dr. S'fiso Nkonyeni,In-Store,Retailer,East
CUST161684SA,Sibusiso Ntombela,E-Commerce,Retailer,North
CUST755638SA,Nomathalente Ngungunyana-Dinabantu,E-Commerce,Retailer,South
CUST865322SA,Mrs. Dumisani Dindi,E-Commerce,Direct,East
CUST994623SA,Bhuti Mandla Phakathwayo,E-Commerce,Retailer,South
CUST221048SA,Bhuti Mthokozisi Ntenga,In-Store,Direct,South
CUST670030SA,Mzamo Nxasana,E-Commerce,Direct,North
CUST572079SA,Sibonelo Mathunjwa-Mthiya,E-Commerce,Retailer,North
CUST256773SA,Baba Mandlakhe Mpofana,E-Commerce,Direct,West
CUST76517SA,Mrs. Londisizwe Mntambo,In-Store,Direct,South
CUST435810SA,Nothando Mabaso,E-Commerce,Direct,North
CUST356717SA,Khanyisile Mayisela-Sokhela,E-Commerce,Direct,East
CUST334827SA,Nkosazana Nomusa Gwija,E-Commerce,Referral,East
CUST797615SA,Nozizwe Ngubane,In-Store,Direct,West
CUST111341SA,Nobantu Mshikila,E-Commerce,Referral,East
CUST128473SA,Musa Majola-Hlongwa,E-Commerce,Direct,North
CUST101514SA,Mandlakhe Mhayise,E-Commerce,Referral,South
CUST906141SA,Nomvula Majozi-Khanyeza,In-Store,Direct,North
CUST852993SA,Sibongile Somboni,In-Store,Direct,North
CUST327905SA,Sphiwe Khanyeza,E-Commerce,Direct,Central
CUST522469SA,Nothando Mzila,E-Commerce,Retailer,East
CUST921777SA,Mzamo Boyabenyathi-Gama,In-Store,Direct,East
CUST991148SA,Nozizwe Mqadi,E-Commerce,Direct,West
CUST252422SA,S'fiso Mcanco,In-Store,Direct,East
CUST51021SA,Mandlakhe Myeza,In-Store,Retailer,Central
CUST626543SA,Dade Nomagugu Ndlangamandla,E-Commerce,Direct,East
CUST8574SA,Ms. Nonhlanhla Hhoyiyane,E-Commerce,Direct,North
CUST925321SA,Siyabonga Mdluli-Xhakaza,E-Commerce,Direct,East
CUST422842SA,Bhekizizwe Mkhathini,E-Commerce,Direct,West
CUST53642SA,Owethu Lubelo-Mdlanyoka,In-Store,Direct,East
CUST580096SA,Bhekani Mhlambo-Mzolo,In-Store,Retailer,East
CUST472230SA,Bhuti Mandla Ntshiza,In-Store,Referral,South
CUST713449SA,Gugu Gwamanda-Gcaba,E-Commerce,Retailer,Central
CUST413037SA,Thembekile Mbongwe,In-Store,Direct,North
CUST584929SA,Thandiwe Hlubi,E-Commerce,Retailer,East
CUST208727SA,Nozizwe Mkhatshwa-Mzilankatha,E-Commerce,Direct,East
CUST42210SA,Bandile Hlatshwayo,In-Store,Referral,East
