customer_code ,customer_name                  ,store_name       ,customer_type ,channel  ,province      ,city
CUST-135600   ,Lwandile Nhlabathi             ,Checkers Sixty60 ,Retail        ,Online   ,Gauteng       ,Pretoria
CUST-244305   ,Mcebisi Cwalile                ,Usave            ,Retail        ,In-Store ,KwaZulu-Natal ,Pietermaritzburg
CUST-237507   ,Musa Mdunge                    ,Checkers Sixty60 ,Wholesale     ,In-Store ,Gauteng       ,Soweto
CUST-632675   ,Bhekizizwe Ntsele              ,Checkers Sixty60 ,Retail        ,Online   ,KwaZulu-Natal ,Pietermaritzburg
CUST-247782   ,Nomathalente Ngubane           ,Usave            ,Bulk          ,In-Store ,Gauteng       ,Soweto
CUST-363646   ,Ndumiso Mpunzana               ,Checkers         ,Bulk          ,Online   ,Northern Cape ,Kimberley
CUST-277830   ,Londiwe Manyoni                ,Shoprite         ,Wholesale     ,In-Store ,Gauteng       ,Tembisa
CUST-568031   ,Mandlakhe Mntambo              ,Usave            ,Wholesale     ,In-Store ,KwaZulu-Natal ,Durban
CUST-686519   ,Andile Mtolo                   ,Checkers Sixty60 ,Retail        ,Online   ,Gauteng       ,Johannesburg
CUST-529751   ,Zenzile Nkwakha-Lakaza         ,Checkers         ,Bulk          ,In-Store ,Gauteng       ,Soweto
CUST-51734    ,Nomathemba Nombela-Phewa       ,Checkers Sixty60 ,Bulk          ,Online   ,Limpopo       ,Polokwane
CUST-995891   ,Bandile Ncala-Thobeni          ,Shoprite         ,Bulk          ,Online   ,KwaZulu-Natal ,Durban
CUST-587573   ,Bhekisisa Sangweni             ,Checkers Sixty60 ,Retail        ,Online   ,Gauteng       ,Tembisa
CUST-465091   ,Mama Thuthukile Luthuli        ,Usave            ,Wholesale     ,In-Store ,Gauteng       ,Tembisa
CUST-292839   ,Khanyisile Goje                ,Usave            ,Wholesale     ,Online   ,Gauteng       ,Tembisa
CUST-44943    ,Dumisani Mbotho                ,Usave            ,Wholesale     ,In-Store ,Western Cape  ,Stellenbosch
CUST-718345   ,Vusumuzi Mvuyana               ,Shoprite         ,Bulk          ,Online   ,Western Cape  ,Stellenbosch
