customer_code,customer_name,customer_type,channel,store_code,store_name,city,province,source_system,load_timestamp,batch_id
CUST-491104,Mthokozisi Fihlela,Retail,Online,USV,Usave,Durban,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-111375,Thalente Sitolotolo,Retail,Online,CHK,Checkers,Pietermaritzburg,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-937764,Sithembiso Godide,Bulk,In-Store,C60,Checkers Sixty60,Pretoria,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-569967,Njabulo Mabhena,Retail,Online,SHOP,Shoprite,Pietermaritzburg,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-933105,Thandeka Mgazi,Wholesale,In-Store,C60,Checkers Sixty60,Kimberley,Northern Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-308336,Mlungisi Lwandle-Menziwa,Retail,Online,CHK,Checkers,Rustenburg,North West,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-752285,Thabani Msamkhulu,Wholesale,Online,SHOP,Shoprite,Polokwane,Limpopo,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-192418,Baba Jabulani Mcanco,Retail,Online,USV,Usave,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-571114,Mzamo Khaphela,Retail,In-Store,SHOP,Shoprite,Johannesburg,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-270073,Nomcebo Manqele,Wholesale,Online,CHK,Checkers,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-216130,Nkosazana Nomthandazo Ntaka,Wholesale,In-Store,CHK,Checkers,Stellenbosch,Western Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-294143,Mthokozisi Mkhokeleleki,Retail,In-Store,SHOP,Shoprite,Durban,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-714946,Bhuti Langalibalele Makhubo,Wholesale,In-Store,SHOP,Shoprite,Cape Town,Western Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-216524,Lwandile Gagashe,Bulk,Online,USV,Usave,Johannesburg,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-909230,Nkosikazi Thabisile Shibase,Retail,Online,CHK,Checkers,Tembisa,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-470379,Mandlakhe Khanyile,Wholesale,In-Store,C60,Checkers Sixty60,Polokwane,Limpopo,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-951800,Lwandile Mdlenevu,Bulk,Online,USV,Usave,Polokwane,Limpopo,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-656187,Simphiwe Phoseka,Retail,In-Store,C60,Checkers Sixty60,Rustenburg,North West,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-967471,Dr. Nomathemba Mafuleka,Wholesale,In-Store,SHOP,Shoprite,Johannesburg,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-537763,Nomcebo Nodanga,Retail,In-Store,CHK,Checkers,Kimberley,Northern Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-597202,Londiwe Mshiyane,Retail,In-Store,C60,Checkers Sixty60,Bloemfontein,Free State,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-589381,Zakhele Mhlanga,Bulk,Online,SHOP,Shoprite,Rustenburg,North West,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-985544,Vusumuzi Bophela,Bulk,In-Store,CHK,Checkers,Kimberley,Northern Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-733938,Thandiwe Gabhezi-Hlubi,Retail,Online,SHOP,Shoprite,Kimberley,Northern Cape,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-459868,Lungile Vilakazi,Retail,Online,SHOP,Shoprite,Polokwane,Limpopo,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-570242,Miss Thandazile Lamula,Bulk,In-Store,CHK,Checkers,Mbombela,Mpumalanga,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-895602,Simphiwe Sibeko,Retail,In-Store,CHK,Checkers,Bloemfontein,Free State,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-153859,Baba Sphiwe Mbungela,Bulk,Online,CHK,Checkers,Soweto,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-129282,Zenzile Sokhela,Wholesale,Online,C60,Checkers Sixty60,Pretoria,Gauteng,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-792033,Thando Ndlandla,Wholesale,In-Store,C60,Checkers Sixty60,Bloemfontein,Free State,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-345820,Nomcebo Gabhezi-Mbongwa,Bulk,Online,CHK,Checkers,Polokwane,Limpopo,CRM,2026-02-24 03:55:58,BATCH-20260224-01
CUST-164386,Nkosazana Zinhle Nsukuza,Retail,Online,CHK,Checkers,Durban,KwaZulu-Natal,CRM,2026-02-24 03:55:58,BATCH-20260224-01
